Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=128, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 6/200] [Batch 13/27] [D loss: 0.718454] [G loss: 0.604520]
[Epoch 6/200] [Batch 14/27] [D loss: 0.663049] [G loss: 0.667570]
[Epoch 6/200] [Batch 15/27] [D loss: 0.673886] [G loss: 0.680351]
[Epoch 6/200] [Batch 16/27] [D loss: 0.684773] [G loss: 0.722254]
[Epoch 6/200] [Batch 17/27] [D loss: 0.712519] [G loss: 0.685145]
[Epoch 6/200] [Batch 18/27] [D loss: 0.670157] [G loss: 0.763258]
[Epoch 6/200] [Batch 19/27] [D loss: 0.678897] [G loss: 0.737544]
[Epoch 6/200] [Batch 20/27] [D loss: 0.698221] [G loss: 0.727877]
[Epoch 6/200] [Batch 21/27] [D loss: 0.661796] [G loss: 0.778906]
[Epoch 6/200] [Batch 22/27] [D loss: 0.647682] [G loss: 0.748939]
[Epoch 6/200] [Batch 23/27] [D loss: 0.693472] [G loss: 0.692411]
[Epoch 6/200] [Batch 24/27] [D loss: 0.660664] [G loss: 0.774226]
[Epoch 6/200] [Batch 25/27] [D loss: 0.679679] [G loss: 0.752839]
[Epoch 6/200] [Batch 26/27] [D loss: 0.692383] [G loss: 0.713782]
[Epoch 7/200] [Batch 0/27] [D loss: 0.666553] [G loss: 0.768041]
[Epoch 7/200] [Batch 1/27] [D loss: 0.677121] [G loss: 0.731640]
[Epoch 7/200] [Batch 2/27] [D loss: 0.710748] [G loss: 0.709751]
[Epoch 7/200] [Batch 3/27] [D loss: 0.662888] [G loss: 0.725567]
[Epoch 7/200] [Batch 4/27] [D loss: 0.667277] [G loss: 0.731899]
[Epoch 7/200] [Batch 5/27] [D loss: 0.668564] [G loss: 0.720292]
[Epoch 7/200] [Batch 6/27] [D loss: 0.667801] [G loss: 0.743386]
[Epoch 7/200] [Batch 7/27] [D loss: 0.663487] [G loss: 0.680157]
[Epoch 7/200] [Batch 8/27] [D loss: 0.688546] [G loss: 0.729844]
[Epoch 7/200] [Batch 9/27] [D loss: 0.661439] [G loss: 0.728472]
[Epoch 7/200] [Batch 10/27] [D loss: 0.677640] [G loss: 0.741083]
[Epoch 7/200] [Batch 11/27] [D loss: 0.701912] [G loss: 0.732519]
[Epoch 7/200] [Batch 12/27] [D loss: 0.693516] [G loss: 0.739988]
[Epoch 7/200] [Batch 13/27] [D loss: 0.716555] [G loss: 0.722822]
[Epoch 7/200] [Batch 14/27] [D loss: 0.721354] [G loss: 0.687788]
[Epoch 7/200] [Batch 15/27] [D loss: 0.702475] [G loss: 0.688935]
[Epoch 7/200] [Batch 16/27] [D loss: 0.709326] [G loss: 0.687460]
[Epoch 7/200] [Batch 17/27] [D loss: 0.713238] [G loss: 0.699745]
[Epoch 7/200] [Batch 18/27] [D loss: 0.688221] [G loss: 0.715175]
[Epoch 7/200] [Batch 19/27] [D loss: 0.647262] [G loss: 0.731329]
[Epoch 7/200] [Batch 20/27] [D loss: 0.642740] [G loss: 0.740493]
[Epoch 7/200] [Batch 21/27] [D loss: 0.598735] [G loss: 0.765824]
[Epoch 7/200] [Batch 22/27] [D loss: 0.578399] [G loss: 0.766114]
[Epoch 7/200] [Batch 23/27] [D loss: 0.536616] [G loss: 0.744442]
[Epoch 7/200] [Batch 24/27] [D loss: 0.552947] [G loss: 0.659021]
[Epoch 7/200] [Batch 25/27] [D loss: 0.685092] [G loss: 0.461521]
[Epoch 7/200] [Batch 26/27] [D loss: 0.725065] [G loss: 0.457520]
[Epoch 8/200] [Batch 0/27] [D loss: 0.780847] [G loss: 0.506921]
[Epoch 8/200] [Batch 1/27] [D loss: 0.688575] [G loss: 0.644297]
[Epoch 8/200] [Batch 2/27] [D loss: 0.693665] [G loss: 0.790476]
[Epoch 8/200] [Batch 3/27] [D loss: 0.668340] [G loss: 0.841267]
[Epoch 8/200] [Batch 4/27] [D loss: 0.638854] [G loss: 0.858244]
[Epoch 8/200] [Batch 5/27] [D loss: 0.664349] [G loss: 0.869955]
[Epoch 8/200] [Batch 6/27] [D loss: 0.662079] [G loss: 0.830976]
[Epoch 8/200] [Batch 7/27] [D loss: 0.684748] [G loss: 0.766491]
[Epoch 8/200] [Batch 8/27] [D loss: 0.704302] [G loss: 0.709613]
[Epoch 8/200] [Batch 9/27] [D loss: 0.714397] [G loss: 0.650308]
[Epoch 8/200] [Batch 10/27] [D loss: 0.698487] [G loss: 0.672989]
[Epoch 8/200] [Batch 11/27] [D loss: 0.645855] [G loss: 0.634306]
[Epoch 8/200] [Batch 12/27] [D loss: 0.680463] [G loss: 0.627591]
[Epoch 8/200] [Batch 13/27] [D loss: 0.673471] [G loss: 0.629381]
[Epoch 8/200] [Batch 14/27] [D loss: 0.655490] [G loss: 0.624833]
[Epoch 8/200] [Batch 15/27] [D loss: 0.708248] [G loss: 0.617515]
[Epoch 8/200] [Batch 16/27] [D loss: 0.669234] [G loss: 0.722370]
[Epoch 8/200] [Batch 17/27] [D loss: 0.631250] [G loss: 0.740151]
[Epoch 8/200] [Batch 18/27] [D loss: 0.682631] [G loss: 0.695118]
[Epoch 8/200] [Batch 19/27] [D loss: 0.697336] [G loss: 0.770147]
[Epoch 8/200] [Batch 20/27] [D loss: 0.706561] [G loss: 0.771254]
[Epoch 8/200] [Batch 21/27] [D loss: 0.708939] [G loss: 0.782134]
[Epoch 8/200] [Batch 22/27] [D loss: 0.695728] [G loss: 0.744275]
[Epoch 8/200] [Batch 23/27] [D loss: 0.688279] [G loss: 0.766411]
[Epoch 8/200] [Batch 24/27] [D loss: 0.707546] [G loss: 0.783897]
[Epoch 8/200] [Batch 25/27] [D loss: 0.689538] [G loss: 0.726912]
[Epoch 8/200] [Batch 26/27] [D loss: 0.718056] [G loss: 0.721768]
[Epoch 9/200] [Batch 0/27] [D loss: 0.733952] [G loss: 0.709564]
[Epoch 9/200] [Batch 1/27] [D loss: 0.719823] [G loss: 0.692432]
[Epoch 9/200] [Batch 2/27] [D loss: 0.710727] [G loss: 0.731369]
[Epoch 9/200] [Batch 3/27] [D loss: 0.686751] [G loss: 0.702299]
[Epoch 9/200] [Batch 4/27] [D loss: 0.702095] [G loss: 0.685614]
[Epoch 9/200] [Batch 5/27] [D loss: 0.704274] [G loss: 0.672936]
[Epoch 9/200] [Batch 6/27] [D loss: 0.714956] [G loss: 0.667054]
[Epoch 9/200] [Batch 7/27] [D loss: 0.720334] [G loss: 0.678420]
[Epoch 9/200] [Batch 8/27] [D loss: 0.752980] [G loss: 0.641770]
[Epoch 9/200] [Batch 9/27] [D loss: 0.743890] [G loss: 0.646442]
[Epoch 9/200] [Batch 10/27] [D loss: 0.748075] [G loss: 0.661428]
[Epoch 9/200] [Batch 11/27] [D loss: 0.741041] [G loss: 0.708193]
[Epoch 9/200] [Batch 12/27] [D loss: 0.713912] [G loss: 0.746957]
[Epoch 9/200] [Batch 13/27] [D loss: 0.718540] [G loss: 0.774159]
[Epoch 9/200] [Batch 14/27] [D loss: 0.692703] [G loss: 0.769840]
[Epoch 9/200] [Batch 15/27] [D loss: 0.696966] [G loss: 0.781657]
[Epoch 9/200] [Batch 16/27] [D loss: 0.658968] [G loss: 0.807730]
[Epoch 9/200] [Batch 17/27] [D loss: 0.593352] [G loss: 0.794435]
[Epoch 9/200] [Batch 18/27] [D loss: 0.594338] [G loss: 0.803913]
[Epoch 9/200] [Batch 19/27] [D loss: 0.562101] [G loss: 0.786663]
[Epoch 9/200] [Batch 20/27] [D loss: 0.505346] [G loss: 0.721869]
